id,name,nameAr,nameKu,imageUrl,coverImage,isPremium,isFeatured,category,subcategory,rating,distance,status,isVerified,reviewCount,governorate,city,address,phone,whatsapp,website,description,descriptionAr,descriptionKu,openHours,priceRange,tags,lat,lng
001d3069-9137-47c5-93c0-730d9f571fee,Basra Fuel - Krmat Ali,,,,,false,false,fuel,,0,,pending,false,0,,Krmat Ali,"Street 9, Krmat Ali, Dhi Qar",077022020686,,,,,,,,{},,
001e23f7-0da2-46f5-abe9-136664156e1c,Baghdad Furniture 4 - Diwaniyah,,,,,false,false,furniture,,0,,pending,false,0,,Diwaniyah,"Street 21, Diwaniyah, Qadisiyyah",079037320809,,,,,,,,{},,
0029f684-e9c2-4bde-a56e-f90b66ff6e54,Classic Wear - Pirde,,,,,false,false,clothes,,0,,pending,false,0,,Pirde,"Street 10, Pirde, Erbil",079045195285,,,,,,,,{},,
00422273-f527-4591-a660-7a85b143a5c7,Erbil Espresso - Kifl,,,,,false,false,cafe,,0,,pending,false,0,,Kifl,"Street 7, Kifl, Babil",079011008360,,,,,,,,{},,
0046fa8d-4f26-41bc-98ae-49e70545a021,Dijla Restaurant 3 - Al-Multaqa,,,,,false,false,restaurant,,0,,pending,false,0,,Al-Multaqa,"Street 15, Al-Multaqa, Kirkuk",078111647291,,,,,,,,{},,
00471c7c-72df-4e4d-a69c-0038346234a8,Imam Ali Shrine 4 - Sirwan,,,,,false,false,mosque,,0,,pending,false,0,,Sirwan,"Street 23, Sirwan, Halabja",077014546258,,,,,,,,{},,
0055d5e7-50c8-46ed-8c7b-a128c2c6495b,Baghdad Academy 4 - Al-Aziziyah,,,,,false,false,school,,0,,pending,false,0,,Al-Aziziyah,"Street 22, Al-Aziziyah, Wasit",077029386626,,,,,,,,{},,
005c451c-9b64-4724-a21a-fe782722dea8,Progress Academy 3 - Sawa,,,,,false,false,school,,0,,pending,false,0,,Sawa,"Street 20, Sawa, Babil",078114955909,,,,,,,,{},,
00614843-1ac6-45c4-9848-fd42d121db34,Basra Cafe 3 - Rabiya,,,,,false,false,cafe,,0,,pending,false,0,,Rabiya,"Street 18, Rabiya, Mosul",078211261290,,,,,,,,{},,
00741b93-8361-4ee8-88f3-e6f4717fd9c1,Palmera Coffee 3 - Tel Afar,,,,,false,false,cafe,,0,,pending,false,0,,Tel Afar,"Street 12, Tel Afar, Mosul",079017301521,,,,,,,,{},,
0079b313-271e-4e9a-b734-c994483643af,Tech City Baghdad 4 - Sulaymaniyah City,,,,,false,false,electronics,,0,,verified,false,0,,Sulaymaniyah City,"Street 21, Sulaymaniyah City, Sulaymaniyah",079018619003,,,,,,,,{},,
0087e516-15ff-46ad-8424-f3cd9760e82f,Erbil Pharmacy - Al-Jubba,,,,,false,false,pharmacy,,0,,pending,false,0,,Al-Jubba,"Street 7, Al-Jubba, Karbala",078119219929,,,,,,,,{},,
