id,name,name_en,phone,website,email,address,city,governorate,country,latitude,longitude,category,subcategory,type,facebook,instagram,fsq_id,external_id,source,data_quality,verified,created_at,updated_at,scraped_at,search_tags,raw_data
0004774e-24ad-4fef-ae43-d452764176ac,Lai Lawk Rest & Cafe,Lai Lawk Cafe & Restaurant,+9647700779990,,,"35.56152209222516, 45.424192041981286, Badirkhan 19",سلێمانی,Sulaymaniyah,Iraq,35.56123860,45.42391900,Restaurant,restaurant,,,,osm_node_4189247191,osm_node_4189247191,osm,real,false,2026-04-02 16:34:53.314024+00,2026-04-02 16:34:53.314024+00,2026-04-02 16:34:53.314024+00,,"{""name"": ""Lai Lawk Rest & Cafe"", ""image"": ""https://www.facebook.com/lailawk/photos/4875833255781086"", ""phone"": ""+9647700779990"", ""_extra"": {""cuisine"": ""pizza;coffee_shop;burger"", ""postcode"": ""46002"", ""all_phones"": [""+9647700779990""], ""opening_hours"": ""24/7""}, ""amenity"": ""restaurant"", ""cuisine"": ""pizza;coffee_shop;burger"", ""name:ar"": ""لاي لاوک کافي & مطعم"", ""name:en"": ""Lai Lawk Cafe & Restaurant"", ""addr:city"": ""سلێمانی"", ""diet:meat"": ""yes"", ""addr:street"": ""Badirkhan 19"", ""addr:postcode"": ""46002"", ""opening_hours"": ""24/7"", ""addr:housenumber"": ""35.56152209222516, 45.424192041981286""}"
0022e659-22db-4ce1-ba53-e29c4478dde7,دیوان Diwan,,,,,,Sulaymaniyah,Sulaymaniyah,Iraq,35.56106520,45.43435950,Restaurant,restaurant,,,,osm_node_4698040792,osm_node_4698040792,osm,partial,false,2026-04-02 16:34:53.314024+00,2026-04-02 16:34:53.314024+00,2026-04-02 16:34:53.314024+00,,"{""name"": ""دیوان Diwan"", ""_extra"": {""name_ku"": ""دیوان Diwan"", ""all_phones"": []}, ""amenity"": ""restaurant"", ""name:ku"": ""دیوان Diwan""}"
002895c1-6f11-4762-89ab-676cd5e8344a,كراند كريب - السيدية,,,,,السيدية,بغداد,Baghdad,Iraq,33.24948110,44.35828010,Restaurant,restaurant,,,,,,osm,real,false,2026-04-02 19:29:58.472804+00,2026-04-02 19:29:58.472804+00,2026-04-02 19:29:58.472804+00,,"{""name"": ""كراند كريب - السيدية"", ""_extra"": {""all_phones"": []}, ""amenity"": ""fast_food"", ""addr:city"": ""بغداد"", ""addr:country"": ""IQ"", ""addr:neighbourhood"": ""السيدية"", ""addr:neighbourhood:en"": ""Saydia""}"
003d1286-32ff-4587-9611-5ea41e5c2d10,مندي وتنور - الكرادة,,,,,الكرادة,بغداد,Baghdad,Iraq,33.29429700,44.41260690,Restaurant,restaurant,,,,,,osm,real,false,2026-04-02 19:30:08.257472+00,2026-04-02 19:30:08.257472+00,2026-04-02 19:30:08.257472+00,,"{""name"": ""مندي وتنور - الكرادة"", ""_extra"": {""all_phones"": []}, ""amenity"": ""restaurant"", ""addr:city"": ""بغداد"", ""addr:country"": ""IQ"", ""addr:neighbourhood"": ""الكرادة"", ""addr:neighbourhood:en"": ""Karrada""}"
005896b3-2820-4847-848c-aecde7cb1044,اركيلة البغدادي,,+9647508891221,,,"20 bakhtyari, قضاء أربيل",أربيل,Erbil,Iraq,36.20453630,43.99084940,Cafe,cafe,,,,,,osm,real,false,2026-04-02 12:21:55.723138+00,2026-04-02 12:21:55.723138+00,2026-04-02 12:21:55.723138+00,,"{""name"": ""اركيلة البغدادي"", ""phone"": ""07508891221"", ""_extra"": {""postcode"": ""44001"", ""all_phones"": [""07508891221""], ""opening_hours"": ""24/7""}, ""amenity"": ""cafe"", ""addr:city"": ""أربيل"", ""addr:state"": ""محافظة أربيل"", ""addr:street"": ""20 bakhtyari"", ""addr:country"": ""IQ"", ""addr:district"": ""قضاء أربيل"", ""addr:postcode"": ""44001"", ""opening_hours"": ""24/7""}"
005a1721-9263-47ad-8680-8b38fe5c0ca2,پۆشاکی احمد عبداللە,,,,,,Erbil,Erbil,Iraq,36.16387710,44.02977880,Shop/Retail,shop,,,,osm_node_6579778934,osm_node_6579778934,osm,partial,false,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,,"{""name"": ""پۆشاکی احمد عبداللە"", ""shop"": ""clothes"", ""_extra"": {""all_phones"": []}}"
005f97c0-ad5d-4ffc-9527-cfbb9e05f8a0,مارکێتی سۆفیا,,,,,"شەقامی ڕووناکی, قضاء أربيل",أربيل,Erbil,Iraq,36.17172010,44.02302450,Shop/Retail,shop,,,,osm_node_5064095821,osm_node_5064095821,osm,partial,false,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,,"{""name"": ""مارکێتی سۆفیا"", ""shop"": ""supermarket"", ""_extra"": {""postcode"": ""44001"", ""all_phones"": []}, ""addr:city"": ""أربيل"", ""addr:state"": ""محافظة أربيل"", ""addr:street"": ""شەقامی ڕووناکی"", ""addr:country"": ""IQ"", ""addr:district"": ""قضاء أربيل"", ""addr:postcode"": ""44001""}"
00656915-3add-4cb6-94e5-bd13364de00a,مقهى الباشا,,,,,,Basra,Basra,Iraq,30.50037540,47.81729720,Cafe,cafe,,,,osm_node_11796286248,osm_node_11796286248,osm,partial,false,2026-04-02 14:58:44.408976+00,2026-04-02 14:58:44.408976+00,2026-04-02 14:58:44.408976+00,,"{""name"": ""مقهى الباشا"", ""_extra"": {""all_phones"": []}, ""amenity"": ""cafe""}"
008a7818-8d88-45d6-bd44-f0fa1e762721,کەبابخانە,,,,,,Sulaymaniyah,Sulaymaniyah,Iraq,35.55239880,45.44032300,Restaurant,restaurant,,,,osm_node_6264859087,osm_node_6264859087,osm,partial,false,2026-04-02 16:34:53.314024+00,2026-04-02 16:34:53.314024+00,2026-04-02 16:34:53.314024+00,,"{""name"": ""کەبابخانە"", ""_extra"": {""all_phones"": []}, ""amenity"": ""restaurant""}"
009199a6-79b2-4266-bde3-8e90086da8dc,كوكاي ديار,,,,,,هەولێر,Erbil,Iraq,36.15114700,44.10843410,Shop/Retail,shop,,,,osm_node_6601968809,osm_node_6601968809,osm,partial,false,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,,"{""name"": ""كوكاي ديار"", ""shop"": ""supermarket"", ""_extra"": {""all_phones"": []}, ""addr:city"": ""هەولێر""}"
00c87afe-1e91-47b1-9bc1-a58283c9c017,فيرست تشكن - الاعلام,,,,,السيدية,بغداد,Baghdad,Iraq,33.24810030,44.33444740,Restaurant,restaurant,,,,,,osm,real,false,2026-04-02 19:29:58.472804+00,2026-04-02 19:29:58.472804+00,2026-04-02 19:29:58.472804+00,,"{""name"": ""فيرست تشكن - الاعلام"", ""_extra"": {""all_phones"": []}, ""amenity"": ""fast_food"", ""addr:city"": ""بغداد"", ""addr:country"": ""IQ"", ""addr:neighbourhood"": ""السيدية"", ""addr:neighbourhood:en"": ""Saydia""}"
00f219e5-d29e-45d7-89cd-0df0921c1a9a,market njat,,,,,هەولێر گەرەکی مەنتکاوە شەقامی سمکۆ مەنتک,أربيل,Erbil,Iraq,36.15980500,44.02402400,Shop/Retail,shop,,,,osm_node_11657148715,osm_node_11657148715,osm,partial,false,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,,"{""name"": ""market njat"", ""shop"": ""convenience"", ""_extra"": {""all_phones"": []}, ""addr:city"": ""أربيل"", ""addr:full"": ""هەولێر گەرەکی مەنتکاوە شەقامی سمکۆ مەنتک"", ""addr:state"": ""محافظة أربيل"", ""addr:country"": ""IQ""}"
010d22eb-5381-400e-9f05-5691d3178799,فلبين ماركيت,,,,,قضاء أربيل,أربيل,Erbil,Iraq,36.22513560,43.99561290,Shop/Retail,shop,,,,osm_node_8226595417,osm_node_8226595417,osm,partial,false,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,2026-04-02 08:33:20.356433+00,,"{""name"": ""فلبين ماركيت"", ""shop"": ""supermarket"", ""_extra"": {""postcode"": ""44003"", ""all_phones"": []}, ""addr:city"": ""أربيل"", ""addr:town"": ""عنكاوا"", ""addr:state"": ""محافظة أربيل"", ""addr:country"": ""IQ"", ""addr:district"": ""قضاء أربيل"", ""addr:postcode"": ""44003"", ""addr:subdistrict"": ""ناحية عنكاوا""}"
0114e111-a2fb-4b72-a2b3-f8791a6f2db6,99 Grill,99 Grill,,https://instagram.com/99grill.iraq?igshid=MzRlODBiNWFlZA==,,زيونة شارع الربيعي,Baghdad,Baghdad,Iraq,33.32862580,44.45644770,Restaurant,restaurant,,,,,,osm,real,false,2026-04-02 19:30:11.956006+00,2026-04-02 19:30:11.956006+00,2026-04-02 19:30:11.956006+00,,"{""name"": ""99 Grill"", ""_extra"": {""cuisine"": ""friture"", ""all_phones"": [], ""opening_hours"": ""Mo-Fr 09:00-03:00; Su,Sa 09:00-18:00""}, ""amenity"": ""restaurant"", ""cuisine"": ""friture"", ""name:ar"": ""99 كرل"", ""name:en"": ""99 Grill"", ""website"": ""https://instagram.com/99grill.iraq?igshid=MzRlODBiNWFlZA=="", ""addr:street"": ""زيونة شارع الربيعي"", ""opening_hours"": ""Mo-Fr 09:00-03:00; Su,Sa 09:00-18:00"", ""internet_access"": ""wlan""}"
0136e5fd-778e-4fa7-9c88-e5d5763be039,Lizzano Caffe & Rest,,,https://tr.foursquare.com/v/lizzano-caffe--rest/603120386e210231d0716377,,"Gulan Street, قضاء أربيل",أربيل,Erbil,Iraq,36.21872880,44.01116610,Cafe,cafe,,,,,,osm,real,false,2026-04-02 12:21:58.015645+00,2026-04-02 12:21:58.015645+00,2026-04-02 12:21:58.015645+00,,"{""name"": ""Lizzano Caffe & Rest"", ""_extra"": {""postcode"": ""44001"", ""all_phones"": []}, ""amenity"": ""cafe"", ""website"": ""https://tr.foursquare.com/v/lizzano-caffe--rest/603120386e210231d0716377"", ""addr:city"": ""أربيل"", ""addr:state"": ""محافظة أربيل"", ""addr:street"": ""Gulan Street"", ""addr:country"": ""IQ"", ""addr:district"": ""قضاء أربيل"", ""addr:postcode"": ""44001"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no""}"
