name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
abdulrahman 3yada,,+9647504751456,,,ڕێگای کۆنی کەرکووک,Erbil,Erbil,Healthcare,healthcare,36.1287353,44.0132273,,,real,false,osm
دەرمانخانەی جەرجیر,,+9647504699586,,,,هەولێر,Erbil,Healthcare,healthcare,36.1242071,44.0190949,,,real,false,osm
رسکین,rskin,+9647507461910,,,dwside shadi,Erbil,Erbil,Healthcare,healthcare,36.1572667,43.9791303,,,real,false,osm
PAKY HOSPITAL | نەخۆشخانەی پاکی,,+9647509950007,www.Pakyhospital.com,,شەقامی نەورۆز,أربيل,Erbil,Healthcare,healthcare,36.1706849,43.9789833,,,real,false,osm
دەرمانخانەی ژێنەر,Zhanbar Pharmacy,+9647504626776,,,"شەقامی زوورگەزراو, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.1724678,43.9873072,,,real,false,osm
دکتۆر شێروان رەحمان سولەیمان,Dr. Sherwan Rahman Sulaiman,+9647502027383,,drsherwanshal@gmail.com,"1, 209/10",Erbil,Erbil,Healthcare,healthcare,36.1744654,43.9778603,,,real,false,osm
الدكتورة اريانا خالص,Proximal Clinics,+9647502008001,http://proximalclinics.com,,"شارع القاضي غازي, شارۆچکەی ناوەندی هەولێر",هەولێر,Erbil,Healthcare,healthcare,36.1919528,43.9619464,,,real,false,osm
عيادة تجميل,Laser Clinic Erbil,+9647512121952,,laser.clinic.erbil@hotmail.com,,Erbil,Erbil,Healthcare,healthcare,36.1872837,43.9723328,,,real,false,osm
دەرمانخانەی دەلانی زانکۆ,Dalany Zanko Pharmacy,+9647506254008,https://www.dalany.net/,info@dalany.net,شەقامی پێشەوا قازی,Erbil,Erbil,Healthcare,healthcare,36.1598823,44.0294267,,,real,false,osm
دکتۆر عبدالصبور احمد حسێن,Dr. AbdulSabur Ahmed Husen,+9647503153919,,,,Erbil,Erbil,Healthcare,healthcare,36.1763905,44.0091322,,,real,false,osm
عيادة الدكتور نبز يونس,Dr. Nabaz Younis Clinic,+9647502006868,http://www.drnabaz.com,info@meerpt.com,"Ashal Street, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.1873502,43.9961328,,,real,false,osm
ناوەندەی ئەمریکایی بۆ چاو و تۆڕی چاو,American Eye & Retina Center,+9647500177678,http://Info@aerc-Erbil.com,,"شەقامی سوڵتان موزەفەر, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.1877823,44.0026772,,,real,false,osm
دەرمانخانەی سیگما,sigma pharmacy,+9647503890532,,talibpharma@yahoo.com,"شەقامی ئیسکان, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.177265,44.018841,https://www.facebook.com/sigmapharmacy,,real,false,osm
مدخر ادوية بناز,Banaz Drugstore,+9647508401654,,,,Erbil,Erbil,Healthcare,healthcare,36.1764484,44.0183676,,,real,false,osm
نۆرینگەی د. قانیعە,,+9647501366094,,,"شەقامی جەمال حەیدەری, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.1741641,44.0366995,,,real,false,osm
سەرکەوت خۆشناو,,+9647507483830,,,"PAR Hospital Street, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.1830642,44.0262537,https://www.facebook.com/Dr.Sarkawt.Khoshnaw.Oncologist.Erbil.Kurdistan,,real,false,osm
علی حسین بکر,,+9647504619073,,,قضاء أربيل,أربيل,Erbil,Healthcare,healthcare,36.1830232,44.0262899,,,real,false,osm
صيدلية رةوةز,Rawaz Pharmacy,+9647509659141,,,"185/4/218, 225-35",Erbil,Erbil,Healthcare,healthcare,36.1881643,44.0268852,,,real,false,osm
هاوكار عبدالله كاك أحمد,Dr. Hawkar Abdullah Kak Ahmad,+9647504733522,https://m.facebook.com/Hawkar.A.KakAhmed.ped.surg.andurology/,,طريق أربيل-كوي سنجق,Erbil,Erbil,Healthcare,healthcare,36.1916673,44.0291702,,,real,false,osm
فریاکەوتنی خێرا 122,Emergency center 122,+9647503802007,,,قضاء أربيل,أربيل,Erbil,Healthcare,healthcare,36.1886167,44.0382288,,,real,false,osm
Swedish Rehab Center 2,Swedish Rehab Center,+9647501908804,https://swerehcen.business.site/,swerehcen@gmail.com,طريق ٤٠ متر,Erbil,Erbil,Healthcare,healthcare,36.1883997,44.0360445,,,real,false,osm
د محمد حسين العبيدي,dr mohammed clinic,+9647507227500,,alobaidimohammed2014@gmail.com,قضاء أربيل,أربيل,Erbil,Healthcare,healthcare,36.1882438,44.0390639,,,real,false,osm
د. رێبەر ناظم,D. Rebar Daham,+9647504536719,,,32 park,Erbil,Erbil,Healthcare,healthcare,36.1932255,43.9573463,,,real,false,osm
فيولا فارما,viola pharmacy and cosmatics,+9647503003008,,,"MRF 5 towers, قضاء أربيل",أربيل,Erbil,Healthcare,healthcare,36.193929,43.9646246,,,real,false,osm
